stationnr;name;lon;lat;depth
657;Rio Vista;38° 8.9' N; 121° 41.3' W;10.1
655;N. of Three Mile Slough;38° 7.3' N; 121° 42.1' W;10.1
653;Mid-Decker Island;38° 6.3' N; 121° 43.2' W;10.1
649;Sacramento River;38° 3.7' N; 121° 48.0' W;10.1
2;Chain Island;38° 3.8' N; 121° 51.3' W;11.3
3;Pittsburg;38° 3.0' N; 121° 52.7' W;11.3
4;Simmons Point;38° 2.9' N; 121° 56.1' W;11.6
5;Middle Ground;38° 3.6' N; 121° 58.8' W;9.8
6;Roe Island;38° 3.9' N; 122° 2.1' W;10.1
7;Avon Pier;38° 2.9' N; 122° 5.8' W;11.6
411;Garnet Sill;38° 5.8' N; 122° 3.5' W;
407;Reserve Fleet;38° 44.3' N; 122° 5.6' W;11.0
405;Reserve Fleet;38° 22.9' N; 122° 7.4' W;11.0
8;Martinez;38° 1.8' N; 122° 9.1' W;14.3
9;Benicia;38° 3.0' N; 122° 10.4' W;34.4
10;Crockett;38° 3.6' N; 122° 12.5' W;17.7
11;Mare Island;38° 3.7' N; 122° 15.8' W;15.5
12;Pinole Shoal;38° 3.1' N; 122° 18.7' W;8.8
12.5;Pinole Point (ns);38° 2.4' N; 122° 18.9' W;6.7
13;N. of Pinole Point;38° 1.7' N; 122° 22.2' W;9.8
14;"Echo" Buoy;38° 0.4' N; 122° 24.3' W;13.1
15;Point San Pablo;37° 58.5' N; 122° 26.2' W;22.9
16;"Charlie" Buoy;37° 54.9' N; 122° 26.8' W;43.0
17;Raccoon Strait;37° 52.9' N; 122° 25.6' W;32.0
18;Point Blunt;37° 50.8' N; 122° 25.3' W;43.0
19;Golden Gate;37° 49.1' N; 122° 28.3' W;91.0
20;Blossom Rock;37° 49.2' N; 122° 23.6' W;18.2
21;Bay Bridge;37° 47.3' N; 122° 21.5' W;17.4
22;Potrero Point;37° 45.9' N; 122° 21.5' W;18.0
23;Hunter's Point;37° 43.7' N; 122° 20.2' W;20.1
24;Candlestick Point;37° 41.9' N; 122° 20.3' W;11.0
25;Oyster Point;37° 40.2' N; 122° 19.5' W;8.8
26;San Bruno Shoal;37° 38.1' N; 122° 18.8' W;9.8
27;San Francisco Airport;37° 37.1' N; 122° 17.5' W;13.0
28;N. of San Mateo Bridge;37° 36.1' N; 122° 16.2' W;16.2
28.5;Geo Probe (ns);37° 35.8' N; 122° 14.1' W;15.7
29;S. of San Mateo Bridge;37° 34.8' N; 122° 14.7' W;14.6
29.5;Steinberger Slough (ns);37° 34.1' N; 122° 13.1' W;14.6    
30;Redwood Creek;37° 33.3' N; 122° 11.4' W;12.8
31;Coyote Hills;37° 31.7' N; 122° 9.5' W;13.7
32;Ravenswood Point;37° 31.1' N; 122° 8.0' W;12.8
33;Dumbarton Bridge;37° 30.5' N; 122° 7.3' W;11.6
34;Newark Slough;37° 29.7' N; 122° 5.6' W;7.9
35;Mowry Slough;37° 28.8' N; 122° 4.8' W;8.5
36;Calaveras Point;37° 28.3' N; 122° 3.9' W;7.9